Post type,Title,Post url,Author(s),Date and time posted,Tags,No. of comments
article,Politicians Want Universal School Vouchers. But What About The Public?,https://fivethirtyeight.com/features/politicians-want-universal-school-vouchers-but-what-about-the-public/,Monica Potts; Mary Radcliffe,"Mar. 29, 2023, at 12:23 PM",Education; Public Schools; Home school; Private school; Religious; Vouchers,12
article,Should Anti-Trump Republicans Clear The Field For DeSantis?,https://fivethirtyeight.com/features/trump-desantis-2024-primary/,Nathaniel Rakich; Alex Samuels; Geoffrey Skelley,"Mar. 28, 2023, at 6:00 AM",Donald Trump; Polls; Slack Chat; Mike Pence; 2024 Presidential Election; 2024 Election; 2024 Republican Primary; Ron DeSantis; Liz Cheney; Nikki Haley; Larry Hogan; Tim Scott,20
podcast,Who Do Democrats Want To Win The 2024 Republican Primary?,https://fivethirtyeight.com/videos/who-do-democrats-want-to-win-the-2024-republican-primary/,Galen Druke; Alex Samuels; Nathaniel Rakich; Kaleigh Rogers,"Mar. 27, 2023",Donald Trump; Politics Podcast; Video; Polling; Democrats; 2024 Republican Primary; Ron DeSantis,
podcast,What Taylor Swift Can Teach Us About Polling,https://fivethirtyeight.com/videos/what-taylor-swift-can-teach-us-about-polling/,Galen Druke; Alex Samuels; Nathaniel Rakich; Kaleigh Rogers,"Mar. 27, 2023",Politics Podcast; Video; Polling; Taylor Swift,3
podcast,Politics Podcast: Good Or Bad Use Of Polling (Taylor’s Version) ,https://fivethirtyeight.com/features/politics-podcast-good-or-bad-use-of-polling-taylors-version/,Galen Druke; Nathaniel Rakich; Alex Samuels; Kaleigh Rogers,"Mar. 27, 2023",FiveThirtyEight Podcasts; Politics Podcast; Ron DeSantis; Taylor Swift,3
article,Would Democrats Rather Face Donald Trump Or Ron DeSantis in 2024?,https://fivethirtyeight.com/features/would-democrats-rather-face-donald-trump-or-ron-desantis-in-2024/,Alex Samuels,"Mar. 27, 2023, at 6:00 AM",Donald Trump; 2024 Presidential Election; 2024 Election; 2024 Republican Primary; Ron DeSantis,28
article,"Unions Have Been Under Attack For Decades, But Michigan Just Gave Them A Big Win",https://fivethirtyeight.com/features/unions-have-been-under-attack-for-decades-but-michigan-just-gave-them-a-big-win/,Monica Potts,"Mar. 24, 2023, at 3:37 PM",Partisanship; State Legislatures; Labor; Unions,11
article,Which Taylor Swift Album Is The Most Popular?,https://fivethirtyeight.com/features/taylor-swift-eras-tour-polling/,Nathaniel Rakich,"Mar. 24, 2023, at 6:00 AM",Polling; Polls; Pollapalooza; Pollsters; Music; Pop Music; Margin Of Error,
podcast,Will Voters Care If Trump Gets Indicted?,https://fivethirtyeight.com/videos/will-voters-care-if-trump-gets-indicted/,Galen Druke; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Mar. 23, 2023",Donald Trump; Politics Podcast; Video; 2024 Presidential Election; Stormy Daniels,16
podcast,Politics Podcast: The Manhattan DA Might Be The Least Of Trump's Legal Worries ,https://fivethirtyeight.com/features/politics-podcast-the-manhattan-da-might-be-the-least-of-trumps-legal-worries/,Galen Druke; Amelia Thomson-DeVeaux; Nathaniel Rakich,"Mar. 23, 2023",Donald Trump; FiveThirtyEight Podcasts; Politics Podcast; Jan. 6 Investigation,3
